"series_id","country","source_column"
"china","china","Visitor Arrivals: China"
"india","india","Visitor Arrivals: India"
"malaysia","malaysia","Visitor Arrivals: Malaysia"
"australia","australia","Visitor Arrivals: Australia"
"philippines","philippines","Visitor Arrivals: Philippines"
"japan","japan","Visitor Arrivals: Japan"
"united_kingdom","united kingdom","Visitor Arrivals: United Kingdom"
"thailand","thailand","Visitor Arrivals: Thailand"
"germany","germany","Visitor Arrivals: Germany"
"hong_kong_sar_china","hong kong sar china","Visitor Arrivals: Hong Kong SAR (China)"
